method,dataset,n_runs,high_fitness_proximity_mean,high_fitness_proximity_std,novelty_mean,novelty_std,batch_diversity_mean,batch_diversity_std,normalized_fitness_median_top128_mean,normalized_fitness_median_top128_std,normalized_fitness_median_top256_mean,normalized_fitness_median_top256_std,max_fitness_mean,max_fitness_std,spearman_correlation_mean,spearman_correlation_std,epistatic_correlation_mean,epistatic_correlation_std,recall_high_order_mean,recall_high_order_std,simple_regret_mean,simple_regret_std,miscalibration_area_mean,miscalibration_area_std,expected_calibration_error_mean,expected_calibration_error_std,auoc_mean,auoc_std,hit_rate_mean,hit_rate_std,_seed_mean,_seed_std,max_fitness_raw_mean,max_fitness_raw_std,global_max_raw_mean,global_max_raw_std,queries_mean,queries_std,n_rounds_mean,n_rounds_std,n_in_landscape_mean,n_in_landscape_std,n_off_landscape_mean,n_off_landscape_std,round_mean,round_std,simple_regret_raw_mean,simple_regret_raw_std
alphavariant,4site_PhoQ,31,1.9193548387096775,0.25705447500821343,2.0,0.0,4.580645161290323,1.0088061787814122,0.5508216052948262,0.12059314011217598,0.43967682213269677,0.14037272806024928,0.7492933695749491,0.13571805980468846,0.7292443069714648,0.09538000283543902,0.0,0.0,0.0,0.0,0.16301560229623271,0.12208692599975375,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,,,,,,,,,480.0,0.0,0.0,0.0,,,,
alphavariant,4site_TEV,31,1.9193548387096775,0.25705447500821343,2.0,0.0,4.580645161290323,1.0088061787814122,0.5508216052948262,0.12059314011217598,0.43967682213269677,0.14037272806024928,2.302548702314784,8.437826037873055,0.7292443069714648,0.09538000283543902,0.0,0.0,0.0,0.0,2.8869947929293174,15.006606610357068,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,,,,,,,,,480.0,0.0,0.0,0.0,,,,
alphavariant,4site_TRPB,31,1.9193548387096775,0.25705447500821343,2.0,0.0,4.580645161290323,1.0088061787814122,0.5508216052948262,0.12059314011217598,0.43967682213269677,0.14037272806024928,2.302548702314784,8.437826037873055,0.7292443069714648,0.09538000283543902,0.0,0.0,0.0,0.0,2.8869947929293174,15.006606610357068,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,,,,,,,,,480.0,0.0,0.0,0.0,,,,
alphavariant,TRPB,31,1.9193548387096775,0.25705447500821343,2.0,0.0,4.580645161290323,1.0088061787814122,0.5508216052948262,0.12059314011217598,0.43967682213269677,0.14037272806024928,2.302548702314784,8.437826037873055,0.7292443069714648,0.09538000283543902,0.0,0.0,0.0,0.0,2.8869947929293174,15.006606610357068,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,,,,,,,,,480.0,0.0,0.0,0.0,,,,
delta_cs,4site_GB1,31,1.6129032258064515,0.7901579815429607,2.4518649193548385,0.4520813933506939,0.39983022071307295,0.569015293503828,0.33390958681596683,0.18891178583982626,0.3136220868246203,0.1908756421059694,0.3478538116812779,0.17897683842273368,0.5525810899084177,0.4263186197573535,-0.46010151647285397,0.30036454555948444,0.0017705229520231464,0.0020581360270833828,0.6521461883187221,0.17897683842273368,0.0,0.0,46.43977395631124,65.5716222044031,,,,,442.16129032258067,279.0067748945261,3.047883151159171,1.5681889114275507,8.761965655710004,3.552713678800501e-15,,,,,,,,,5.0,0.0,5.7140825045508326,1.5681889114275505
delta_cs,4site_PhoQ,30,2.0,0.6831300510639732,2.3309895833333334,0.4582925674342225,0.21605994152046784,0.546135948819165,0.09094644439798745,0.09110348787727057,0.089073854210101,0.0925717040665524,0.10145613729370792,0.08699134749369472,0.11404897890320939,0.5024417873209388,-0.47009697488720514,0.44314747290548867,0.000260787102892366,0.00043002269196816155,0.8985438627062919,0.0869913474936947,0.0,0.0,12453.487365063434,50769.0100299395,,,,,455.5,273.7225785352754,13.553958598772684,11.621545564736476,133.59427,0.0,,,,,,,,,5.0,0.0,120.04031140122733,11.621545564736476
delta_cs,4site_TEV,30,2.2,0.4,2.3544270833333334,0.3081037336657651,1.6151023391812867,0.79531277286404,0.5200831755942119,0.04094886510079752,0.49676092848704484,0.04141260357001471,0.36440997968117395,0.21530255256371503,0.3518857614541242,0.3625113550078822,-0.07048017764216429,0.2251887339392211,0.001423785594639866,0.0014590662805849535,0.635590020318826,0.21530255256371503,0.0,0.0,0.07348178275571535,0.05687057651752414,,,,,455.5,273.7225785352754,0.36440997968117395,0.21530255256371503,1.0,0.0,,,,,,,,,5.0,0.0,0.635590020318826,0.21530255256371503
delta_cs,TRPB,30,1.8666666666666667,0.8055363982396381,2.308854166666667,0.347697114483481,1.1579532163742692,0.7920094994288003,0.4421709162359057,0.2400377154513168,0.4042605198230151,0.24027514211950698,0.5631535001099109,0.2458018371501819,0.5132197505942576,0.3741136847674766,-0.20185798240708053,0.22324391928754853,0.005234505862646566,0.003947247820526962,0.43684649989008906,0.2458018371501819,0.0,0.0,0.26831319460100583,0.13865722257540553,,,,,455.5,273.7225785352754,0.5631535001099109,0.2458018371501819,1.0,0.0,,,,,,,,,5.0,0.0,0.43684649989008906,0.2458018371501819
ftMLDE,4site_GB1,31,1.3225806451612903,0.4674637660061109,2.0,0.0,3.2580645161290325,0.4375696763306625,0.44914618387870103,0.047636378119604125,0.3177117422220238,0.07087363961685063,0.8728347199755583,0.09975471952803205,0.0,0.0,0.0,0.0,0.0,0.0,0.12716528002444175,0.09975471952803205,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.16129032258067,279.0067748945261,7.6477478395370975,0.8740474264996007,8.761965655710004,3.552713678800501e-15,,,,,,,,,,,,
ftMLDE,4site_PhoQ,30,1.8,0.4,2.0,0.0,3.4,0.48989794855663565,0.11610972874845857,0.014230084092766512,0.07333733754740629,0.01651336938574564,0.5547643427287962,0.23297126944225086,0.0,0.0,0.0,0.0,0.0,0.0,0.44523565727120396,0.23297126944225086,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,74.11333738888334,31.123626672110813,133.59427,0.0,,,,,,,,,,,,
ftMLDE,4site_TEV,30,2.2666666666666666,0.44221663871405326,2.033333333333333,0.1795054935711501,3.7,0.45825756949558405,0.5577069526748779,0.0625315136742804,0.523276364335021,0.05816287260176216,0.4401007445303969,0.1477804935118131,0.0,0.0,0.0,0.0,0.0,0.0,0.5598992554696032,0.1477804935118131,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.4401007445303969,0.1477804935118131,1.0,0.0,,,,,,,,,,,,
ftMLDE,TRPB,30,1.3666666666666667,0.4818944098266986,2.0166666666666666,0.08975274678557506,3.033333333333333,0.17950549357115014,0.5835173020833333,0.06172824693650633,0.47113859524999996,0.07036573648673872,0.8648382352,0.1245631504099264,0.0,0.0,0.0,0.0,0.0,0.0,0.13516176479999997,0.1245631504099264,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,455.5,273.7225785352754,0.8648382352,0.1245631504099264,1.0,0.0,,,,,,,,,,,,
