dataset,metric,method_a,method_b,median_a,median_b,median_diff,p_two_sided,sig_bonferroni
4site_TRPB,top128,FLEXS,GreedyWalk,0.54780232,0.297320829,0.25048149099999995,1.862645149230957e-09,True
4site_TRPB,top128,FLEXS,AiCE,0.54780232,0.08503513374999999,0.46276718624999996,1.862645149230957e-09,True
4site_TRPB,top128,FLEXS,EVOLVEpro,0.54780232,0.03603471975,0.51176760025,1.862645149230957e-09,True
4site_TRPB,top128,FLEXS,Random,0.545530922,0.035766441999999996,0.50976448,3.725290298461914e-09,True
4site_TRPB,top128,CLADE,GreedyWalk,0.540510146,0.297320829,0.24318931700000002,3.725290298461914e-09,True
4site_TRPB,top128,CLADE,AiCE,0.540510146,0.08503513374999999,0.45547501225000003,1.862645149230957e-09,True
4site_TRPB,top128,CLADE,EVOLVEpro,0.540510146,0.03603471975,0.50447542625,1.862645149230957e-09,True
4site_TRPB,top128,CLADE,Random,0.5395701495,0.035766441999999996,0.5038037075,3.725290298461914e-09,True
4site_TRPB,top128,GreedyWalk,AiCE,0.297320829,0.08503513374999999,0.21228569525000002,1.862645149230957e-09,True
4site_TRPB,top128,GreedyWalk,EVOLVEpro,0.297320829,0.03603471975,0.26128610925,1.862645149230957e-09,True
4site_TRPB,top128,GreedyWalk,Random,0.2939396125,0.035766441999999996,0.2581731705,3.725290298461914e-09,True
4site_TRPB,top128,AiCE,EVOLVEpro,0.08503513374999999,0.03603471975,0.04900041399999999,1.862645149230957e-09,True
4site_TRPB,top128,AiCE,Random,0.08578330549999999,0.035766441999999996,0.050016863499999994,3.725290298461914e-09,True
4site_TRPB,top128,EVOLVEpro,Random,0.036099150499999996,0.035766441999999996,0.00033270850000000074,0.7982758991420269,False
